team_id,team_name,created_at,plan,region,contact_email,member_count,project_count,prod_deployment_count,deployment_count,largest_deployment_class,suspended,has_convex_employee_member
100628,Pyrspire Games,2025-05-07,Pro,us-east,lena@gmail.com,2,5,1,10,s16,false,false
101083,Sarridge Robotics,2024-09-02,Pro,us-east,ruth@outlook.com,1,1,0,2,s16,false,false
101593,Delridge Works,2024-09-06,Pro,eu-west,jordan.bergstrom@gmail.com,5,3,1,8,s16,false,false
101751,Wexhaven Dynamics,2026-06-09,Pro,us-east,malik.ashworth@wexhaven.io,7,3,3,7,s256,false,false
102500,Vincliff Systems,2024-04-27,Pro,us-east,mina@icloud.com,2,4,1,7,s16,false,false
103395,Lyrstead Systems,2025-08-02,Free,us-east,diego.kirby@yahoo.com,1,5,1,9,s16,false,false
103662,Pyrbourne Health,2025-09-16,Free,us-east,yuki.novak@proton.me,1,4,1,8,s16,false,false
104005,Arcgrove Networks,2024-09-21,Pro,us-east,rosa.lindqvist@proton.me,2,3,1,6,s16,false,false
104487,Fenspire Health,2025-02-26,Free,eu-west,iris.reyes@proton.me,1,3,0,5,s16,false,false
105159,Briharbor Robotics,2024-07-07,Pro,us-east,noah.delgado@briharbor.dev,1,3,1,7,s16,false,false
105697,Lunmarch Studio,2025-03-27,Pro,us-east,yuki.reyes@outlook.com,2,2,0,3,s16,false,false
106312,Zangate,2024-11-23,Pro,us-east,elena.bergstrom@icloud.com,2,5,1,10,s16,false,false
106327,Nyxbrook Bio,2025-07-25,Starter,us-east,nina@nyxbrook.ai,1,3,0,4,s16,false,false
107101,Zanwick Health,2025-06-30,Free,eu-west,elena.haddad@zanwick.co,1,3,0,4,s16,false,false
107461,Indmarch Analytics,2026-04-08,Free,eu-west,omar@indmarch.com,1,5,0,8,s16,false,false
108338,Norfield Bio,2025-11-15,Pro,us-east,wei.whitfield@outlook.com,2,4,1,9,s16,false,false
109024,Oromoor Cloud,2025-04-05,Pro,eu-west,sana@oromoor.com,2,2,0,6,s16,false,false
109882,Quofield Media,2024-07-16,Pro,us-east,malik@yahoo.com,3,3,0,6,s16,false,false
110237,Galmarch Digital,2025-02-19,Free,eu-west,omar.vance@galmarch.io,1,3,0,6,s16,false,false
110744,Zancliff Games,2024-10-22,Pro,us-east,malik.ibarra@zancliff.com,2,3,1,8,s16,false,false
111083,Melquay Works,2024-05-14,Pro,eu-west,ruth.silva@melquay.dev,2,3,1,6,s16,false,false
111115,Gruvale Labs,2025-06-28,Pro,eu-west,sana.ashworth@gruvale.ai,1,1,1,5,s16,false,false
111236,Orogrove Networks,2025-04-09,Pro,eu-west,lena@proton.me,1,4,1,9,s16,false,false
111402,Melloft Commerce,2026-06-03,Pro,us-east,hana@icloud.com,2,6,1,11,s16,false,false
112085,Hexfont AI,2025-03-29,Starter,us-east,lars@outlook.com,2,4,0,7,s16,false,false
112573,Embfont Health,2025-03-23,Free,us-east,dev.bergstrom@embfont.com,1,2,0,4,s16,false,false
112964,Fencliff Group,2025-04-24,Pro,us-east,ruth.bergstrom@fencliff.app,4,3,1,5,s16,false,true
113226,Normoor Dynamics,2024-03-22,Pro,us-east,marco.tanaka@yahoo.com,1,5,1,9,s16,false,false
113523,Delvale Group,2025-08-13,Starter,eu-west,theo.bergstrom@icloud.com,1,5,1,7,s16,false,false
113858,Nyxmoor Cloud,2025-02-19,Free,eu-west,noah@outlook.com,1,1,0,3,s16,false,false
114214,Ithmarch Analytics,2024-07-12,Pro,us-east,omar.silva@ithmarch.co,2,3,1,8,s16,false,false
114611,Umbridge Robotics,2024-06-06,Starter,eu-west,nina.ashworth@yahoo.com,1,4,1,6,s16,false,false
115070,Ithcliff Commerce,2026-05-16,Starter,us-east,alex.delgado@ithcliff.com,1,6,1,9,s16,false,false
115502,Morfont Cloud,2024-06-19,Pro,us-east,dev@morfont.ai,2,3,1,7,s16,false,false
116190,Calridge Cloud,2024-06-07,Starter,us-east,omar.hoffmann@proton.me,1,2,0,6,s16,false,false
116726,Melport Commerce,2025-05-25,Free,us-east,jordan@icloud.com,1,3,0,4,s16,false,false
117494,Halgrove Group,2025-04-02,Pro,eu-west,malik.novak@halgrove.io,2,2,1,5,s16,false,false
118353,Sarbrook Labs,2024-10-06,Pro,us-east,priya.nakamura@sarbrook.com,7,3,1,7,s256,false,false
